invoice_line_no,date,store,name,address,city,zipcode,store_location,county_number,county,category,category_name,vendor_no,vendor_name,itemno,im_desc,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,sale_bottles,sale_dollars,sale_liters,sale_gallons
INV-65701500017,2023-12-27T00:00:00.000,3784,HARTIG DRUG #14 / INDEPENDENCE,201 1ST STREET WEST,INDEPENDENCE,50644,POINT (-91.895938009 42.468642793),,BUCHANAN,1052100,IMPORTED BRANDIES,420,MOET HENNESSY USA,48247,HENNESSY VSOP PRIVILEGE,12,750,33.49,50.24,2,100.48,1.50,0.39
INV-65701500018,2023-12-27T00:00:00.000,3784,HARTIG DRUG #14 / INDEPENDENCE,201 1ST STREET WEST,INDEPENDENCE,50644,POINT (-91.895938009 42.468642793),,BUCHANAN,1051100,AMERICAN BRANDIES,205,E & J GALLO WINERY,52599,E & J VS ROUND,12,1000,7.80,11.70,2,23.40,2.00,0.52
INV-65701500019,2023-12-27T00:00:00.000,3784,HARTIG DRUG #14 / INDEPENDENCE,201 1ST STREET WEST,INDEPENDENCE,50644,POINT (-91.895938009 42.468642793),,BUCHANAN,1051100,AMERICAN BRANDIES,085,BROWN FORMAN CORP.,52806,KORBEL BRANDY,12,750,6.66,9.99,3,29.97,2.25,0.59
INV-65701500020,2023-12-27T00:00:00.000,3784,HARTIG DRUG #14 / INDEPENDENCE,201 1ST STREET WEST,INDEPENDENCE,50644,POINT (-91.895938009 42.468642793),,BUCHANAN,1051100,AMERICAN BRANDIES,434,LUXCO INC,55084,PARAMOUNT BLACKBERRY BRANDY,24,375,3.75,5.63,5,28.15,1.87,0.49
INV-65701500021,2023-12-27T00:00:00.000,3784,HARTIG DRUG #14 / INDEPENDENCE,201 1ST STREET WEST,INDEPENDENCE,50644,POINT (-91.895938009 42.468642793),,BUCHANAN,1051100,AMERICAN BRANDIES,434,LUXCO INC,55087,PARAMOUNT BLACKBERRY BRANDY,12,1000,6.75,10.13,2,20.26,2.00,0.52
INV-65701500022,2023-12-27T00:00:00.000,3784,HARTIG DRUG #14 / INDEPENDENCE,201 1ST STREET WEST,INDEPENDENCE,50644,POINT (-91.895938009 42.468642793),,BUCHANAN,1051100,AMERICAN BRANDIES,434,LUXCO INC,55506,PARAMOUNT CHERRY BRANDY,12,750,5.75,8.63,2,17.26,1.50,0.39
INV-65701500023,2023-12-27T00:00:00.000,3784,HARTIG DRUG #14 / INDEPENDENCE,201 1ST STREET WEST,INDEPENDENCE,50644,POINT (-91.895938009 42.468642793),,BUCHANAN,1071000,COCKTAILS/RTD,395,PROXIMO,58838,JOSE CUERVO AUTHENTIC LIME MARGARITA,6,1750,8.74,13.11,6,78.66,10.50,2.77
INV-65701500024,2023-12-27T00:00:00.000,3784,HARTIG DRUG #14 / INDEPENDENCE,201 1ST STREET WEST,INDEPENDENCE,50644,POINT (-91.895938009 42.468642793),,BUCHANAN,1081600,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,64864,FIREBALL CINNAMON WHISKEY,24,375,5.33,8.00,5,40.00,1.87,0.49
INV-65701500025,2023-12-27T00:00:00.000,3784,HARTIG DRUG #14 / INDEPENDENCE,201 1ST STREET WEST,INDEPENDENCE,50644,POINT (-91.895938009 42.468642793),,BUCHANAN,1081600,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,64867,FIREBALL CINNAMON WHISKEY,12,1000,12.00,18.00,4,72.00,4.00,1.05
INV-65701500026,2023-12-27T00:00:00.000,3784,HARTIG DRUG #14 / INDEPENDENCE,201 1ST STREET WEST,INDEPENDENCE,50644,POINT (-91.895938009 42.468642793),,BUCHANAN,1081600,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,64868,FIREBALL CINNAMON WHISKEY,6,1750,16.00,24.00,6,144.00,10.50,2.77
