"invoice_line_no","date","store","name","address","city","zipcode","store_location","county_number","county","category","category_name","vendor_no","vendor_name","itemno","im_desc","pack","bottle_volume_ml","state_bottle_cost","state_bottle_retail","sale_bottles","sale_dollars","sale_liters","sale_gallons"
"INV-60112500090","2023-07-08T00:00:00.000","010227","GRIMES LIQUOR SHOP / GRIMES","3600 SOUTHEAST CROSSROADS DRIVE","GRIMES","50111","POINT (-93.772949974 41.65908699)",,"POLK","1011400","TENNESSEE WHISKIES","085","BROWN FORMAN CORP.","26586","GENTLEMAN JACK","12","750","20.01","30.02","2","60.04","1.50","0.39"
"INV-60112500091","2023-07-08T00:00:00.000","010227","GRIMES LIQUOR SHOP / GRIMES","3600 SOUTHEAST CROSSROADS DRIVE","GRIMES","50111","POINT (-93.772949974 41.65908699)",,"POLK","1011100","BLENDED WHISKIES","125","CEDAR RIDGE VINEYARDS LL","26710","SLIPKNOT IOWA WHISKEY NO. 9","6","750","21.33","32.00","2","64.00","1.50","0.39"
"INV-60112500092","2023-07-08T00:00:00.000","010227","GRIMES LIQUOR SHOP / GRIMES","3600 SOUTHEAST CROSSROADS DRIVE","GRIMES","50111","POINT (-93.772949974 41.65908699)",,"POLK","1011100","BLENDED WHISKIES","125","CEDAR RIDGE VINEYARDS LL","26712","SLIPKNOT IOWA WHISKEY NO. 9 RESERVE","6","750","41.34","62.01","1","62.01","0.75","0.19"
"INV-60112500093","2023-07-08T00:00:00.000","010227","GRIMES LIQUOR SHOP / GRIMES","3600 SOUTHEAST CROSSROADS DRIVE","GRIMES","50111","POINT (-93.772949974 41.65908699)",,"POLK","1011400","TENNESSEE WHISKIES","085","BROWN FORMAN CORP.","26821","JACK DANIELS OLD #7 BLACK LABEL MINI","12","50","11.50","17.25","1","17.25","0.05","0.01"
"INV-60112500094","2023-07-08T00:00:00.000","010227","GRIMES LIQUOR SHOP / GRIMES","3600 SOUTHEAST CROSSROADS DRIVE","GRIMES","50111","POINT (-93.772949974 41.65908699)",,"POLK","1011400","TENNESSEE WHISKIES","085","BROWN FORMAN CORP.","26824","JACK DANIELS OLD #7 BLACK LABEL SQUARE","24","375","8.25","12.38","4","49.52","1.50","0.39"
"INV-60112500095","2023-07-08T00:00:00.000","010227","GRIMES LIQUOR SHOP / GRIMES","3600 SOUTHEAST CROSSROADS DRIVE","GRIMES","50111","POINT (-93.772949974 41.65908699)",,"POLK","1011400","TENNESSEE WHISKIES","085","BROWN FORMAN CORP.","26826","JACK DANIELS OLD #7 BLACK LABEL","12","750","15.91","23.87","4","95.48","3.00","0.79"
"INV-60112500096","2023-07-08T00:00:00.000","010227","GRIMES LIQUOR SHOP / GRIMES","3600 SOUTHEAST CROSSROADS DRIVE","GRIMES","50111","POINT (-93.772949974 41.65908699)",,"POLK","1011400","TENNESSEE WHISKIES","085","BROWN FORMAN CORP.","26828","JACK DANIELS OLD #7 BLACK LABEL","6","1750","33.28","49.92","2","99.84","3.50","0.92"
"INV-60112500097","2023-07-08T00:00:00.000","010227","GRIMES LIQUOR SHOP / GRIMES","3600 SOUTHEAST CROSSROADS DRIVE","GRIMES","50111","POINT (-93.772949974 41.65908699)",,"POLK","1011400","TENNESSEE WHISKIES","085","BROWN FORMAN CORP.","26906","JACK DANIELS SINGLE BARREL","6","750","28.50","42.75","2","85.50","1.50","0.39"
"INV-60112500098","2023-07-08T00:00:00.000","010227","GRIMES LIQUOR SHOP / GRIMES","3600 SOUTHEAST CROSSROADS DRIVE","GRIMES","50111","POINT (-93.772949974 41.65908699)",,"POLK","1011600","STRAIGHT RYE WHISKIES","260","DIAGEO AMERICAS","27025","BULLEIT 95 RYE","12","750","17.99","26.99","2","53.98","1.50","0.39"
"INV-60112500099","2023-07-08T00:00:00.000","010227","GRIMES LIQUOR SHOP / GRIMES","3600 SOUTHEAST CROSSROADS DRIVE","GRIMES","50111","POINT (-93.772949974 41.65908699)",,"POLK","1011600","STRAIGHT RYE WHISKIES","287","CHATHAM IMPORTS INC","27060","MICHTERS US*1 KENTUCKY STRAIGHT SINGLE BARREL RYE","6","750","24.50","36.75","2","73.50","1.50","0.39"
